row,col,species,avg_depth_m,density,threat_level,behavior,trophic_level,prey_species
5,9,Giant_Isopod,1107,0.326,3,scavenger,3,"Abyssal_Plant, Biogenic_Sediment"
4,6,Giant_Isopod,1137,0.244,3,scavenger,3,"Abyssal_Plant, Biogenic_Sediment"
6,0,Giant_Isopod,1490,0.327,3,scavenger,3,"Abyssal_Plant, Biogenic_Sediment"
6,8,Blue_Siphonophore,645,0.523,2,drifter,2,
5,7,Blue_Siphonophore,826,0.423,2,drifter,2,
15,11,Glass_Squid,2268,0.694,2,roaming,2,
11,2,Glass_Squid,1013,0.683,2,roaming,2,
8,3,Glass_Squid,3258,0.477,2,roaming,2,
24,4,Glass_Squid,2184,0.691,2,roaming,2,
4,25,Glass_Squid,2922,0.64,2,roaming,2,
4,13,Glass_Squid,1679,0.618,2,roaming,2,
2,21,Glass_Squid,2357,0.364,2,roaming,2,
3,21,Glass_Squid,1743,0.482,2,roaming,2,
8,15,Glass_Squid,1771,0.521,2,roaming,2,
17,2,Glass_Squid,1940,0.456,2,roaming,2,
24,3,Glass_Squid,1854,0.502,2,roaming,2,
3,17,Glass_Squid,1264,0.55,2,roaming,2,
5,17,Glass_Squid,2860,0.255,2,roaming,2,
6,17,Glass_Squid,1625,0.503,2,roaming,2,
15,1,Glass_Squid,2580,0.681,2,roaming,2,
11,15,Glass_Squid,2292,0.701,2,roaming,2,
16,6,Glass_Squid,2738,0.259,2,roaming,2,
3,6,Glass_Squid,966,0.705,2,roaming,2,
10,0,Glass_Squid,2116,0.353,2,roaming,2,
3,1,Glass_Squid,1496,0.606,2,roaming,2,
17,0,Glass_Squid,2260,0.545,2,roaming,2,
9,8,Glass_Squid,2397,0.8,2,roaming,2,
0,11,Glass_Squid,1493,0.307,2,roaming,2,
6,6,Glass_Squid,1530,0.932,2,roaming,2,
1,14,Glass_Squid,1600,0.622,2,roaming,2,
5,15,Glass_Squid,1163,0.56,2,roaming,2,
3,3,Glass_Squid,1552,0.397,2,roaming,2,
13,3,Glass_Squid,1772,0.397,2,roaming,2,
0,23,Glass_Squid,2658,0.691,2,roaming,2,
5,19,Glass_Squid,1867,0.557,2,roaming,2,
22,3,Glass_Squid,1507,0.261,2,roaming,2,
6,3,Glass_Squid,1718,0.49,2,roaming,2,
13,1,Glass_Squid,1202,0.71,2,roaming,2,
18,4,Hydro_Vent_Shrimp,3959,0.602,2,swarm,2,Abyssal_Plant
27,8,Hydro_Vent_Shrimp,4197,0.584,2,swarm,2,Abyssal_Plant
26,11,Hydro_Vent_Shrimp,3874,0.669,2,swarm,2,Abyssal_Plant
27,12,Hydro_Vent_Shrimp,2160,0.518,2,swarm,2,Abyssal_Plant
26,13,Hydro_Vent_Shrimp,2179,0.405,2,swarm,2,Abyssal_Plant
41,42,Specter_Whale,4083,0.261,3,roaming,3,"Abyssal_Ray, Glass_Squid"
37,44,Specter_Whale,4782,0.14,3,roaming,3,"Abyssal_Ray, Glass_Squid"
42,44,Specter_Whale,6572,0.287,3,roaming,3,"Abyssal_Ray, Glass_Squid"
40,42,Specter_Whale,4205,0.471,3,roaming,3,"Abyssal_Ray, Glass_Squid"
41,43,Specter_Whale,6002,0.05,3,roaming,3,"Abyssal_Ray, Glass_Squid"
5,44,Abyssal_Plant,3377,0.515,1,stationary,1,
36,33,Abyssal_Plant,5368,0.32,1,stationary,1,
38,29,Abyssal_Plant,4286,0.324,1,stationary,1,
46,43,Abyssal_Plant,3953,0.371,1,stationary,1,
24,49,Abyssal_Plant,6011,0.409,1,stationary,1,
39,41,Abyssal_Plant,3715,0.302,1,stationary,1,
41,30,Abyssal_Plant,3985,0.549,1,stationary,1,
26,44,Abyssal_Plant,4619,0.405,1,stationary,1,
48,40,Abyssal_Plant,4220,0.585,1,stationary,1,
42,32,Abyssal_Plant,7274,0.461,1,stationary,1,
40,20,Abyssal_Plant,3457,0.368,1,stationary,1,
36,43,Abyssal_Plant,5012,0.555,1,stationary,1,
42,44,Abyssal_Plant,6605,0.9,1,stationary,1,
12,49,Abyssal_Plant,5256,0.437,1,stationary,1,
44,22,Abyssal_Plant,5422,0.641,1,stationary,1,
47,28,Abyssal_Plant,4278,0.251,1,stationary,1,
39,28,Abyssal_Plant,4186,0.475,1,stationary,1,
25,40,Abyssal_Plant,4260,0.5,1,stationary,1,
25,44,Abyssal_Plant,6989,0.677,1,stationary,1,
42,41,Abyssal_Plant,7698,0.661,1,stationary,1,
23,42,Abyssal_Plant,5256,0.431,1,stationary,1,
47,42,Abyssal_Plant,8233,0.671,1,stationary,1,
20,41,Abyssal_Plant,3766,0.376,1,stationary,1,
39,39,Abyssal_Plant,5026,0.504,1,stationary,1,
36,27,Abyssal_Plant,3939,0.787,1,stationary,1,
45,39,Abyssal_Plant,4679,0.4,1,stationary,1,
48,30,Abyssal_Plant,4876,0.632,1,stationary,1,
31,32,Abyssal_Plant,5195,0.397,1,stationary,1,
24,39,Abyssal_Plant,5312,0.617,1,stationary,1,
49,11,Abyssal_Plant,5094,0.535,1,stationary,1,
36,37,Abyssal_Plant,7571,0.466,1,stationary,1,
29,30,Abyssal_Plant,3244,0.306,1,stationary,1,
17,42,Abyssal_Plant,3937,0.44,1,stationary,1,
22,43,Abyssal_Plant,4320,0.587,1,stationary,1,
37,37,Abyssal_Plant,6075,0.889,1,stationary,1,
48,39,Abyssal_Plant,7626,0.582,1,stationary,1,
43,49,Abyssal_Plant,4869,0.682,1,stationary,1,
37,22,Abyssal_Plant,3732,0.464,1,stationary,1,
40,25,Abyssal_Plant,4554,0.475,1,stationary,1,
32,27,Abyssal_Plant,3609,0.484,1,stationary,1,
49,4,Abyssal_Plant,5059,0.823,1,stationary,1,
35,34,Abyssal_Plant,5731,0.454,1,stationary,1,
34,28,Abyssal_Plant,6590,0.355,1,stationary,1,
46,33,Abyssal_Plant,3831,0.288,1,stationary,1,
35,36,Abyssal_Plant,4413,0.401,1,stationary,1,
36,46,Abyssal_Plant,6266,0.28,1,stationary,1,
45,33,Abyssal_Plant,7746,0.568,1,stationary,1,
48,48,Abyssal_Plant,5371,0.507,1,stationary,1,
36,38,Abyssal_Plant,5698,0.594,1,stationary,1,
42,37,Abyssal_Plant,6693,0.668,1,stationary,1,
20,43,Abyssal_Plant,6514,0.387,1,stationary,1,
45,27,Abyssal_Plant,5817,0.536,1,stationary,1,
13,47,Abyssal_Plant,3749,0.504,1,stationary,1,
45,26,Abyssal_Plant,5074,0.404,1,stationary,1,
45,47,Abyssal_Plant,5757,0.4,1,stationary,1,
34,35,Abyssal_Plant,5159,0.665,1,stationary,1,
44,42,Abyssal_Plant,7574,0.523,1,stationary,1,
40,27,Abyssal_Plant,5916,0.318,1,stationary,1,
33,30,Abyssal_Plant,4239,0.609,1,stationary,1,
38,37,Abyssal_Plant,5234,0.421,1,stationary,1,
35,47,Abyssal_Plant,7027,0.526,1,stationary,1,
32,40,Abyssal_Plant,3959,0.192,1,stationary,1,
41,23,Abyssal_Plant,4023,0.421,1,stationary,1,
42,47,Abyssal_Plant,5813,0.567,1,stationary,1,
38,44,Abyssal_Plant,6692,0.357,1,stationary,1,
46,49,Abyssal_Plant,8045,0.287,1,stationary,1,
38,49,Abyssal_Plant,4393,0.418,1,stationary,1,
39,21,Abyssal_Plant,5673,0.557,1,stationary,1,
38,25,Abyssal_Plant,3442,0.652,1,stationary,1,
41,36,Abyssal_Plant,7082,0.634,1,stationary,1,
37,30,Abyssal_Plant,6728,0.614,1,stationary,1,
31,29,Abyssal_Plant,3528,0.72,1,stationary,1,
47,32,Abyssal_Plant,5645,0.66,1,stationary,1,
48,22,Abyssal_Plant,4821,0.575,1,stationary,1,
11,46,Abyssal_Plant,6346,0.53,1,stationary,1,
27,48,Abyssal_Plant,5959,0.507,1,stationary,1,
37,35,Abyssal_Plant,5875,0.444,1,stationary,1,
37,13,Abyssal_Plant,5989,0.486,1,stationary,1,
41,43,Abyssal_Plant,7161,0.394,1,stationary,1,
32,44,Abyssal_Plant,5643,0.097,1,stationary,1,
29,44,Abyssal_Plant,7327,0.607,1,stationary,1,
46,39,Abyssal_Plant,5193,0.333,1,stationary,1,
20,49,Abyssal_Plant,6428,0.617,1,stationary,1,
35,31,Abyssal_Plant,3483,0.873,1,stationary,1,
18,47,Abyssal_Plant,5914,0.297,1,stationary,1,
39,44,Abyssal_Plant,5955,0.605,1,stationary,1,
43,36,Abyssal_Plant,6181,0.434,1,stationary,1,
45,19,Abyssal_Plant,3825,0.664,1,stationary,1,
23,48,Abyssal_Plant,3183,0.546,1,stationary,1,
46,19,Abyssal_Plant,5826,0.321,1,stationary,1,
42,35,Abyssal_Plant,4386,0.51,1,stationary,1,
48,49,Abyssal_Plant,6989,0.547,1,stationary,1,
21,45,Abyssal_Plant,6050,0.673,1,stationary,1,
33,39,Abyssal_Plant,7580,0.459,1,stationary,1,
35,45,Abyssal_Plant,4537,0.525,1,stationary,1,
47,39,Abyssal_Plant,7660,0.451,1,stationary,1,
49,39,Abyssal_Plant,3997,0.457,1,stationary,1,
27,42,Abyssal_Plant,4078,0.208,1,stationary,1,
37,46,Abyssal_Plant,5787,0.274,1,stationary,1,
43,25,Abyssal_Plant,6635,0.286,1,stationary,1,
41,25,Abyssal_Plant,2953,0.389,1,stationary,1,
32,37,Abyssal_Plant,6662,0.275,1,stationary,1,
48,26,Abyssal_Plant,6749,0.327,1,stationary,1,
16,48,Abyssal_Plant,3971,0.529,1,stationary,1,
25,42,Abyssal_Plant,6137,0.594,1,stationary,1,
40,21,Abyssal_Plant,4996,0.461,1,stationary,1,
41,42,Abyssal_Plant,4323,0.524,1,stationary,1,
45,37,Abyssal_Plant,5875,0.535,1,stationary,1,
22,36,Abyssal_Plant,4365,0.79,1,stationary,1,
22,45,Abyssal_Plant,3235,0.272,1,stationary,1,
31,37,Abyssal_Plant,6457,0.475,1,stationary,1,
46,31,Abyssal_Plant,6582,0.281,1,stationary,1,
35,39,Abyssal_Plant,4472,0.528,1,stationary,1,
43,29,Abyssal_Plant,3462,0.333,1,stationary,1,
14,47,Abyssal_Plant,3092,0.424,1,stationary,1,
32,35,Abyssal_Plant,4628,0.27,1,stationary,1,
45,42,Abyssal_Plant,5942,0.453,1,stationary,1,
40,41,Abyssal_Plant,5735,0.463,1,stationary,1,
32,47,Abyssal_Plant,3788,0.459,1,stationary,1,
47,40,Abyssal_Plant,5418,0.61,1,stationary,1,
11,48,Abyssal_Plant,6429,0.512,1,stationary,1,
44,21,Abyssal_Plant,4376,0.391,1,stationary,1,
27,30,Abyssal_Plant,3287,0.489,1,stationary,1,
36,48,Abyssal_Plant,6374,0.404,1,stationary,1,
33,28,Abyssal_Plant,3836,0.327,1,stationary,1,
29,48,Abyssal_Plant,4790,0.396,1,stationary,1,
48,29,Abyssal_Plant,4190,0.357,1,stationary,1,
38,33,Abyssal_Plant,4015,0.598,1,stationary,1,
47,31,Abyssal_Plant,7291,0.682,1,stationary,1,
39,43,Abyssal_Plant,6479,0.492,1,stationary,1,
21,46,Abyssal_Plant,6926,0.35,1,stationary,1,
49,43,Abyssal_Plant,6477,0.72,1,stationary,1,
37,28,Abyssal_Plant,3206,0.857,1,stationary,1,
25,35,Abyssal_Plant,5409,0.239,1,stationary,1,
40,33,Abyssal_Plant,6816,0.469,1,stationary,1,
31,34,Abyssal_Plant,4456,0.374,1,stationary,1,
44,43,Abyssal_Plant,6364,0.281,1,stationary,1,
46,30,Abyssal_Plant,4954,0.546,1,stationary,1,
29,46,Abyssal_Plant,5346,0.352,1,stationary,1,
36,28,Abyssal_Plant,4007,0.34,1,stationary,1,
48,27,Abyssal_Plant,6624,0.653,1,stationary,1,
38,31,Abyssal_Plant,4963,0.478,1,stationary,1,
47,33,Abyssal_Plant,5005,0.609,1,stationary,1,
49,38,Abyssal_Plant,4124,0.684,1,stationary,1,
28,46,Abyssal_Plant,6305,0.863,1,stationary,1,
35,48,Abyssal_Plant,7593,0.492,1,stationary,1,
26,47,Abyssal_Plant,3816,0.706,1,stationary,1,
19,47,Abyssal_Plant,3122,0.59,1,stationary,1,
27,32,Abyssal_Plant,7395,0.531,1,stationary,1,
38,41,Abyssal_Plant,4981,0.526,1,stationary,1,
28,33,Abyssal_Plant,5089,0.547,1,stationary,1,
40,35,Abyssal_Plant,6036,0.487,1,stationary,1,
44,49,Abyssal_Plant,5962,0.287,1,stationary,1,
11,49,Abyssal_Plant,3697,0.374,1,stationary,1,
28,35,Abyssal_Plant,6092,0.193,1,stationary,1,
34,43,Abyssal_Plant,3928,0.574,1,stationary,1,
35,33,Abyssal_Plant,5438,0.278,1,stationary,1,
40,45,Abyssal_Plant,4459,0.336,1,stationary,1,
44,17,Abyssal_Plant,3811,0.366,1,stationary,1,
